mancer/weaver                  15979  2154   854  0.00150    ✓      ✗     ✗      ✗      ✓       | ✗            ✗        ✗      | não   | ok | ✗ [Mancer 2]
qwen/qwen-plus                 40456  1723  2202  0.00217    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
qwen/qwen-plus                 46533  1723  2536  0.00211    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Alibaba]
qwen/qwen-plus-2025-07-28      23774  1723  1828  0.00187    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Alibaba]
qwen/qwen-plus-2025-07-28      23435  1723  1816  0.00186    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Alibaba]
z-ai/glm-4.5-air               29699  1674  1469  0.00195    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Z.AI]
z-ai/glm-4.5-air               34581  1674  1707  0.00193    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Z.AI]
xiaomi/mimo-v2.5-pro           33441  1968  1712  0.00226    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Xiaomi]
xiaomi/mimo-v2.5-pro           31323  1968  1583  0.00141    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Xiaomi]
deepseek/deepseek-chat         82725  1744  1264  0.00168    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [DeepInfra]
deepseek/deepseek-chat         91690  1744  1299  0.00171    ✓      ✓     ✗      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [DeepInfra]
cognitivecomputations/dolphin-mistral-24b-venice-edition  9331  2229   924  0.00128    ✓      ✗     ✓      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [Venice]
cognitivecomputations/dolphin-mistral-24b-venice-edition  7643  2229   844  0.00121    ✓      ✗     ✗      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [Venice]
z-ai/glm-4.6v                  56294  1675  1613  0.00195    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Novita]
z-ai/glm-4.6v                  44607  1675  1684  0.00202    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Novita]
qwen/qwen3-14b                 28259  1724  1969  0.00061    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [NextBit]
